Month,County,Driving Test Categories,VALUE,Year,Date
2023 May,Co. Galway,Category B (Car or light van),60.1,2023,2023-05-01
2023 June,Co. Galway,Category B (Car or light van),60.6,2023,2023-06-01
2023 June,Co. Dublin,Category B (Car or light van),45.9,2023,2023-06-01
2023 June,Co. Donegal,Category B (Car or light van),57.9,2023,2023-06-01
2023 July,Co. Donegal,Category B (Car or light van),62.2,2023,2023-07-01
2023 July,Co. Dublin,Category B (Car or light van),46.3,2023,2023-07-01
2023 July,Co. Galway,Category B (Car or light van),61.9,2023,2023-07-01
2023 August,Co. Donegal,Category B (Car or light van),56.2,2023,2023-08-01
2023 August,Co. Dublin,Category B (Car or light van),47.6,2023,2023-08-01
2023 August,Co. Galway,Category B (Car or light van),59.3,2023,2023-08-01
2023 September,Co. Galway,Category B (Car or light van),59.8,2023,2023-09-01
2023 September,Co. Dublin,Category B (Car or light van),47.1,2023,2023-09-01
2023 September,Co. Donegal,Category B (Car or light van),63.7,2023,2023-09-01
2023 October,Co. Donegal,Category B (Car or light van),53.3,2023,2023-10-01
2023 October,Co. Dublin,Category B (Car or light van),44.5,2023,2023-10-01
2023 October,Co. Galway,Category B (Car or light van),57.9,2023,2023-10-01
2023 November,Co. Donegal,Category B (Car or light van),54.7,2023,2023-11-01
2023 November,Co. Dublin,Category B (Car or light van),44.7,2023,2023-11-01
2023 November,Co. Galway,Category B (Car or light van),56.7,2023,2023-11-01
2023 December,Co. Galway,Category B (Car or light van),58.7,2023,2023-12-01
2023 December,Co. Donegal,Category B (Car or light van),54.0,2023,2023-12-01
2023 December,Co. Dublin,Category B (Car or light van),45.4,2023,2023-12-01
2024 January,Co. Donegal,Category B (Car or light van),58.3,2024,2024-01-01
2024 January,Co. Dublin,Category B (Car or light van),44.1,2024,2024-01-01
2024 January,Co. Galway,Category B (Car or light van),56.4,2024,2024-01-01
2024 February,Co. Donegal,Category B (Car or light van),60.0,2024,2024-02-01
2024 February,Co. Dublin,Category B (Car or light van),43.1,2024,2024-02-01
2024 February,Co. Galway,Category B (Car or light van),56.1,2024,2024-02-01
2024 March,Co. Galway,Category B (Car or light van),53.7,2024,2024-03-01
2024 March,Co. Dublin,Category B (Car or light van),42.9,2024,2024-03-01
2024 March,Co. Donegal,Category B (Car or light van),59.6,2024,2024-03-01
2024 April,Co. Donegal,Category B (Car or light van),56.1,2024,2024-04-01
2024 April,Co. Dublin,Category B (Car or light van),43.6,2024,2024-04-01
2024 April,Co. Galway,Category B (Car or light van),57.0,2024,2024-04-01
2024 May,Co. Donegal,Category B (Car or light van),53.3,2024,2024-05-01
2024 May,Co. Dublin,Category B (Car or light van),43.7,2024,2024-05-01
2024 May,Co. Galway,Category B (Car or light van),56.1,2024,2024-05-01
2024 June,Co. Galway,Category B (Car or light van),57.5,2024,2024-06-01
2024 June,Co. Donegal,Category B (Car or light van),55.7,2024,2024-06-01
2024 June,Co. Dublin,Category B (Car or light van),43.6,2024,2024-06-01
2024 July,Co. Donegal,Category B (Car or light van),58.4,2024,2024-07-01
2024 July,Co. Dublin,Category B (Car or light van),42.6,2024,2024-07-01
2024 July,Co. Galway,Category B (Car or light van),59.2,2024,2024-07-01
2024 August,Co. Donegal,Category B (Car or light van),51.2,2024,2024-08-01
2024 August,Co. Dublin,Category B (Car or light van),43.6,2024,2024-08-01
2024 August,Co. Galway,Category B (Car or light van),55.9,2024,2024-08-01
2024 September,Co. Donegal,Category B (Car or light van),57.5,2024,2024-09-01
2024 September,Co. Dublin,Category B (Car or light van),41.2,2024,2024-09-01
2024 September,Co. Galway,Category B (Car or light van),55.2,2024,2024-09-01
2024 October,Co. Dublin,Category B (Car or light van),41.5,2024,2024-10-01
2024 October,Co. Donegal,Category B (Car or light van),57.5,2024,2024-10-01
2024 October,Co. Galway,Category B (Car or light van),56.4,2024,2024-10-01
2024 November,Co. Dublin,Category B (Car or light van),42.8,2024,2024-11-01
2024 November,Co. Donegal,Category B (Car or light van),58.4,2024,2024-11-01
2024 November,Co. Galway,Category B (Car or light van),56.0,2024,2024-11-01
2024 December,Co. Dublin,Category B (Car or light van),43.7,2024,2024-12-01
2024 December,Co. Donegal,Category B (Car or light van),53.0,2024,2024-12-01
2024 December,Co. Galway,Category B (Car or light van),58.5,2024,2024-12-01
